Key,English,French
PROPMOVER_TXT_000508,Captain Mushpoie,Capitaine Mushpoie
PROPMOVER_TXT_000510,Giant Mushpoie,Géant Mushpoie
PROPMOVER_TXT_000512,Small Iren,Jeune Iren
PROPMOVER_TXT_000514,Iren,Iren
PROPMOVER_TXT_000516,Captain Iren,Capitaine Iren
PROPMOVER_TXT_000518,Giant Iren,Géant Iren
PROPMOVER_TXT_000520,Small Watangka,Jeune Watangka
PROPMOVER_TXT_000522,Watangka,Watangka
PROPMOVER_TXT_000524,Captain Watangka,Capitaine Watangka
PROPMOVER_TXT_000526,Giant Watangka,Géant Watangka
PROPMOVER_TXT_000528,Small Antiquery,Jeune Treant
PROPMOVER_TXT_000530,Antiquery,Treant
PROPMOVER_TXT_000532,Captain Antiquery,Capitaine Treant
PROPMOVER_TXT_000534,Giant Antiquery,Géant Treant
PROPMOVER_TXT_000536,Small Luia,Jeune Luia
PROPMOVER_TXT_000538,Luia,Luia
PROPMOVER_TXT_000540,Captain Luia,Capitaine Luia
PROPMOVER_TXT_000542,Giant Luia,Géant Luia
PROPMOVER_TXT_000544,Small Gongury,Jeune Gongury
PROPMOVER_TXT_000546,Gongury,Gongury
PROPMOVER_TXT_000548,Captain Gongury,Capitaine Gongury
PROPMOVER_TXT_000550,Giant Gongury,Géant Gongury
PROPMOVER_TXT_000552,Small Shuhamma,Jeune Shuhamma
PROPMOVER_TXT_000554,Shuhamma,Shuhamma
PROPMOVER_TXT_000556,Captain Shuhamma,Capitaine Shuhamma
PROPMOVER_TXT_000558,Giant Shuhamma,Géant Shuhamma
PROPMOVER_TXT_000560,Small Kern,Jeune Kern
PROPMOVER_TXT_000562,Kern,Kern
PROPMOVER_TXT_000564,Captain Kern,Capitaine Kern
PROPMOVER_TXT_000566,Giant Kern,Géant Kern
PROPMOVER_TXT_000568,Small Glaphan,Jeune Glaphan
PROPMOVER_TXT_000570,Glaphan,Glaphan
PROPMOVER_TXT_000572,Captain Glaphan,Capitaine Glaphan
PROPMOVER_TXT_000574,Giant Glaphan,Géant Glaphan
PROPMOVER_TXT_000576,Trainee Chef Muffrin,Jeune Muffrin
PROPMOVER_TXT_000578,3rd Chef Muffrin,Muffrin
PROPMOVER_TXT_000580,2nd Chef Muffrin,Capitaine Muffrin
PROPMOVER_TXT_000582,1st Chef Muffrin,Géant Muffrin
PROPMOVER_TXT_000584,Mutant Fefern,Fefern Mutant
PROPMOVER_TXT_000586,Mutant Fefern King,Capitaine Fefern Mutant
PROPMOVER_TXT_000588,Mutant Giant 2nd Class Fefern,Géant Fefern Mutant
PROPMOVER_TXT_000590,Mutant Nyangnyang,Nyangnyang Mutant
PROPMOVER_TXT_000592,Mutant Nyangnyang Queen,Capitaine Nyangnyang Mutant
PROPMOVER_TXT_000594,Mutant Giant Nyangnyang,Géant Nyangnyang Mutant
PROPMOVER_TXT_000596,Mutant Bang,Bang Mutant
PROPMOVER_TXT_000598,Mutant Boss Bang,Capitaine Bang Mutant
PROPMOVER_TXT_000600,Mutant Giant Bang King,Géant Bang Mutant
PROPMOVER_TXT_000602,Worm Veduque,Grand Veduque
PROPMOVER_TXT_000604,Serus Uriel,Serus Uriel
PROPMOVER_TXT_000606,Vice Veduque,Veduque
PROPMOVER_TXT_000608,Brazenface Pukepuke,Champion Pukepuke
PROPMOVER_TXT_000610,Heartless Bang,Vil Bang
PROPMOVER_TXT_000612,Tough Rock Muscle,Vil Muscu
PROPMOVER_TXT_000614,Flying Aibatt,Vil Aibatt
PROPMOVER_TXT_000616,Beast Mr. Pumpkin,Vil Pumpkin
PROPMOVER_TXT_000618,Master Demian,Maître Démian
PROPMOVER_TXT_000620,Master Keakoon,Maître Keakoon
PROPMOVER_TXT_000622,Master Muffrin,Maître Muffrin
PROPMOVER_TXT_000624,Info-Pang,Pang
PROPMOVER_TXT_000626,Losha,Losha
PROPMOVER_TXT_000628,Boboku,Boboku
PROPMOVER_TXT_000630,Julia,Juria
PROPMOVER_TXT_000632,Lui,Lui
PROPMOVER_TXT_000634,Marche,Marche
PROPMOVER_TXT_000636,Bulrox,Bulrox
PROPMOVER_TXT_000638,Tina,[Pepole] Clagabole
PROPMOVER_TXT_000640,Karin,Helgar
PROPMOVER_TXT_000642,Martin,Herth
PROPMOVER_TXT_000644,Bill,Ann
PROPMOVER_TXT_000646,Dwarpet,Dwarpet
PROPMOVER_TXT_000648,Master Dwarpet,Maître Dwarpet
PROPMOVER_TXT_000650,Iblis,Ivillis
PROPMOVER_TXT_000652,Shade,Shade
PROPMOVER_TXT_000654,Stima,Stima
PROPMOVER_TXT_000656,Phacham,Phacham
PROPMOVER_TXT_000658,Bubble,Bubble
PROPMOVER_TXT_000660,Rhine,Rhine
PROPMOVER_TXT_000662,Roocky,Roocky
PROPMOVER_TXT_000664,Ollien,Ollien
PROPMOVER_TXT_000666,Haven,Haven
PROPMOVER_TXT_000668,Chitller,Chiller
PROPMOVER_TXT_000670,Bolpor,Bolpor
PROPMOVER_TXT_000672,Almani,Almani
PROPMOVER_TXT_000674,Achaben,Achaben
PROPMOVER_TXT_000676,Eshylop,Eshylop
PROPMOVER_TXT_000678,Remine,Remine
PROPMOVER_TXT_000680,Unknown,Unknown
PROPMOVER_TXT_000682,Agent,Agent
PROPMOVER_TXT_000684,Ancimys,Ancimys
PROPMOVER_TXT_000686,Guardian,Gardien
PROPMOVER_TXT_000688,Captain Guard,Garde Capitaine
PROPMOVER_TXT_000692,Venel Guardian,Venel
PROPMOVER_TXT_000694,Ren,Ren
PROPMOVER_TXT_000696,Rubo,Rubo
PROPMOVER_TXT_000698,Sisif,Sisif
PROPMOVER_TXT_000700,Shuraiture,Shuraiture
PROPMOVER_TXT_000702,Babari,Babari
PROPMOVER_TXT_000704,Chaner,Chaner
PROPMOVER_TXT_000706,Seido,Seido
PROPMOVER_TXT_000708,Red Bang Troupe Member,Big Bang
PROPMOVER_TXT_000710,Emerald Mantis,Mantis Émeraude
PROPMOVER_TXT_000712,Lord Bang Hanoyan,Lord Bang Hanoyan
PROPMOVER_TXT_000714,Member of the Violet Magician Troupe,Mage Pourpre
PROPMOVER_TXT_000716,Master of the Violet Magician Troupe,Archimage Pourpre
PROPMOVER_TXT_000718,Grand Master of the Violet Magician Troupe,Grand Archimage Pourpre
PROPMOVER_TXT_000720,Red Bang Troupe Leader,Leader Big Bang
PROPMOVER_TXT_000722,Lord Bang,Lord Bang Nayonah
PROPMOVER_TXT_000724,Organigor,Organigor
PROPMOVER_TXT_000726,Gangard,Gangard
PROPMOVER_TXT_000728,Hadeseor,Hadeseor
PROPMOVER_TXT_000730,Santa,Santa
PROPMOVER_TXT_000732,Priest,Doyen
PROPMOVER_TXT_000734,Guard,Gardien
PROPMOVER_TXT_000736,Chaos Guard,Gardien du Chaos
PROPMOVER_TXT_000738,Criminal Fefern,Meurtrier Fefern
PROPMOVER_TXT_000740,Criminal Wagsaac,Meurtrier Wagsaac
PROPMOVER_TXT_000742,Criminal Mr. Pumpkin,Meurtrier Pumpkin
PROPMOVER_TXT_000744,Criminal Giggle Box,Meurtrier Gigglebox
PROPMOVER_TXT_000746,Criminal Hobo,Meurtrier Hobo
PROPMOVER_TXT_000748,Criminal Cardpuppet,Meurtrier Puppet
PROPMOVER_TXT_000750,Criminal Basque,Meurtrier Bask
PROPMOVER_TXT_000752,Criminal Leyena,Meurtrier Leyena
PROPMOVER_TXT_000754,Criminal Steel Knight,Meurtrier Steelknight
PROPMOVER_TXT_000756,Criminal Volt,Meurtrier Volt
PROPMOVER_TXT_000758,Criminal Garbagespider,Meurtrier Garbagespider
PROPMOVER_TXT_000760,Criminal Greemong,Meurtrier Greemong
PROPMOVER_TXT_000762,Criminal Hoppre,Meurtrier Hoppre
PROPMOVER_TXT_000764,Criminal Iren,Meurtrier Iren
PROPMOVER_TXT_000766,Criminal Watangka,Meurtrier Watangka
PROPMOVER_TXT_000768,Criminal Luia,Meurtrier Luia
PROPMOVER_TXT_000770,Criminal Shuhamma,Meurtrier Shuhamma
PROPMOVER_TXT_000772,Criminal Glaphan,Meurtrier Glaphan
PROPMOVER_TXT_000774,Keakoon Worker,Ouvrier Keakoon
PROPMOVER_TXT_000776,Keakoon Guard,Garde Keakoon
PROPMOVER_TXT_000778,Keakoon Worker Leader,Contremaître Keakoon
PROPMOVER_TXT_000780,Keakoon Guard Leader,Sentinelle Keakoon
PROPMOVER_TXT_000782,Elite Keakoon Worker,Ouvrier Keakoon Elite
PROPMOVER_TXT_000784,Elite Keakoon Guard,Garde Keakoon Elite
PROPMOVER_TXT_000786,Elite Keakoon Worker Leader,Contremaître Keakoon Elite
PROPMOVER_TXT_000788,Elite Keakoon Guard Leader,Sentinelle Keakoon Elite
PROPMOVER_TXT_000790,Mutant Keakoon Worker,Ouvrier Keakoon Mutant
PROPMOVER_TXT_000792,Mutant Keakoon Guard,Garde Keakoon Mutant
PROPMOVER_TXT_000794,Mutant Keakoon Worker Leader,Contremaître Keakoon Mutant
PROPMOVER_TXT_000796,Mutant Keakoon Guard Leader,Sentinelle Keakoon Mutant
PROPMOVER_TXT_000798,Pink Roach,Tyroglyphe Rose
PROPMOVER_TXT_000800,Blue Roach,Tyroglyphe Bleu
PROPMOVER_TXT_000802,Pink Roach Queen,Reine Tyroglyphe Rose
PROPMOVER_TXT_000804,Blue Roach Queen,Reine Tyroglyphe Bleue
PROPMOVER_TXT_000806,Pink Roach Larva,Jeune Tyroglyphe Rose
PROPMOVER_TXT_000808,Blue Roach Larva,Jeune Tyroglyphe Bleu
PROPMOVER_TXT_000810,Green Trillipy,Trillipy Verdâtre
PROPMOVER_TXT_000812,Hazardous Green Trillipy,Trillipy Verdâtre Perfide
PROPMOVER_TXT_000814,Violet Trillipy,Trillipy Violet
PROPMOVER_TXT_000816,Hazardous Violet Trillipy,Trillipy Violet Perfide
PROPMOVER_TXT_000818,Blood Trillipy,Trillipy Sanguin
PROPMOVER_TXT_000820,Hazardous Blood Trillipy,Trillipy Sanguin Perfide
PROPMOVER_TXT_000822,Chimeradon,Kimeradon
PROPMOVER_TXT_000824,Giant Chimeradon,Géant Kimeradon
PROPMOVER_TXT_000826,Meteonyker,Meteonyker
PROPMOVER_TXT_000828,Baby Lawolf,Bébé Lawolf
PROPMOVER_TXT_000830,Baby Aibatt,Bébé Aibatt
PROPMOVER_TXT_000832,Baby Leyena,Bébé Leyena
PROPMOVER_TXT_000834,Baby Luia,Bébé Luia
PROPMOVER_TXT_000836,Kitty,Chat de Darkon
PROPMOVER_TXT_000838,Doggy,Husky de Leren
PROPMOVER_TXT_000840,Ant Turtle,Anturtle
PROPMOVER_TXT_000842,Hammer Kick,Hammerkick
PROPMOVER_TXT_000844,Big Muscle,Big Musclor
PROPMOVER_TXT_000846,Krrr,Krrr
PROPMOVER_TXT_000848,Mushmoot,Mushmoot
PROPMOVER_TXT_000852,Beast Zombiger,Brute Zombiger
PROPMOVER_TXT_000854,Lord Clockworks Alpha,Clockworks Alpha
PROPMOVER_TXT_000856,Brigadier General Crumple,Sergent Chef Crumple
PROPMOVER_TXT_000858,Lieutenant General Scythoid,Commandant Scythoid
PROPMOVER_TXT_000860,Air Marshall Spiketail,Marshal Spiketail
PROPMOVER_TXT_000862,General Glyphaxz,Grand Général Glyphaxz
PROPMOVER_TXT_000866,Soccerball Angel,Ange du Football
PROPMOVER_TXT_000868,Kidler,Kidler
PROPMOVER_TXT_000870,Shacalpion,Shacalpion
PROPMOVER_TXT_000872,Hoiren,Hoiren
PROPMOVER_TXT_000874,Hunter X,Hunter X
PROPMOVER_TXT_000876,Kynsy,Kynsy
PROPMOVER_TXT_000878,Iblis Crasher,Ivillis Crasher
PROPMOVER_TXT_000880,Iblis Poisoner,Ivillis Poisoner
PROPMOVER_TXT_000882,Iblis Wrecker,Ivillis Recker
PROPMOVER_TXT_000884,Iblis Destroyer,Ivillis Dozer
PROPMOVER_TXT_000886,Iblis Puppet,Ivillis Puppet
PROPMOVER_TXT_000888,Iblis Thief,Ivillis Taker
PROPMOVER_TXT_000890,Iblis Guardian,Ivillis Guarder
PROPMOVER_TXT_000892,Iblis Quaker,Ivillis Quaker
PROPMOVER_TXT_000894,Iblis Mushellizer,Ivillis Mushellizer
PROPMOVER_TXT_000896,Iblis Leanes,Ivillis Leanes
PROPMOVER_TXT_000898,Iblis Red Otem,Ivillis Rotem
PROPMOVER_TXT_000900,Iblis Black Otem,Ivillis Botem
PROPMOVER_TXT_000902,Iblis Boxter,Ivillis Boxter
PROPMOVER_TXT_000904,Iblis Dandysher,Ivillis Dandysher
PROPMOVER_TXT_000906,Chitos,Chitos
PROPMOVER_TXT_000908,Clocks,Clocks
PROPMOVER_TXT_000910,Soldier Chimeradon,Soldat Kimeradon
PROPMOVER_TXT_000912,Brigadier Chimeradon,Sergent Kimeradon
PROPMOVER_TXT_000914,Major Chimeradon,Major Kimeradon
PROPMOVER_TXT_000916,Lieutenant Chimeradon,Lieutenant Kimeradon
PROPMOVER_TXT_000918,General Chimeradon,Général Kimeradon
PROPMOVER_TXT_000920,Private Bearnerky,Soldat Bearnerky
PROPMOVER_TXT_000922,Specialist Bearnerky,Sergent Bearnerky
PROPMOVER_TXT_000924,Sergeant Bearnerky,Major Bearnerky
PROPMOVER_TXT_000926,Captain Bearnerky,Lieutenant Bearnerky
