Key,English,French
ACHIEVEMENT_KILL_MAMMOTH_NAME,Mammoth,Mammouth
ACHIEVEMENT_KILL_ATROX_NAME,Atrox,Artrox
ACHIEVEMENT_KILL_TIGAR_NAME,Tigar,Taiga
ACHIEVEMENT_KILL_MERAL_NAME,Meral,Merel
ACHIEVEMENT_KILL_KINGSTER_NAME,Kingster,Langoustroy
ACHIEVEMENT_KILL_CREPER_NAME,Creper,Pincedure
ACHIEVEMENT_KILL_NAGA_NAME,Naga,Nagaro
ACHIEVEMENT_KILL_DORIAN_NAME,Dorian,Dorian
ACHIEVEMENT_KILL_OKEAN_NAME,Okean,Okéan
ACHIEVEMENT_KILL_KRAKEN_NAME,Kraken,Craken
ACHIEVEMENT_KILL_DREADFIN_NAME,Dreadfin,Dreadfin
ACHIEVEMENT_KILL_DREADSCALE_NAME,Dreadscale,Dreadscale
ACHIEVEMENT_KILL_LUMINFIN_NAME,Luminfin,Luminfin
ACHIEVEMENT_KILL_REDMETEONYKER_NAME,Red Meteonyker,Meteonyker Rouge
ACHIEVEMENT_KILL_CAVEMANCHIEF_NAME,Caveman Chief,Chef Homme des Cavernes
ACHIEVEMENT_KILL_TEMPLEGUARDIAN_NAME,Temple Guardian,Guardien du Temple
ACHIEVEMENT_KILL_GREATKRAKEN_NAME,Great Kraken,Grand Kraken
ACHIEVEMENT_KILL_PYRAMIDGUARDIAN_NAME,Pyramid Guardian,Gardien de la Pyramide
ACHIEVEMENT_KILL_CRYSTALDEVIL_NAME,Crystal Demon Lord,Seigneur Démon de Cristal
ACHIEVEMENT_KILL_BEASTKINGKHAN_NAME,Beast King Khan,Remardda
ACHIEVEMENT_KILL_SHADEKRITON_NAME,[Shade Lieutenant] Kriton,[Shade Lieutenant] Kriton
ACHIEVEMENT_KILL_PUPPETWOLF_NAME,Hundur Sharpfoot,Lawolf des Plaines
ACHIEVEMENT_KILL_RYSENTRY_NAME,Samoset,Sentinelle Lycan
ACHIEVEMENT_KILL_RYGUARD_NAME,Kyouchish,Garde Lycan
ACHIEVEMENT_KILL_RYARCHER_NAME,Kanonicus,Archer Lycan
ACHIEVEMENT_KILL_RYMAGI_NAME,Mage Redcloud,Magicien Lycan
ACHIEVEMENT_KILL_RYWARRIOR_NAME,Taiaha,Taiaha
ACHIEVEMENT_KILL_SKELWOLF_NAME,Hellhound,Lawolf de l'Enfer
ACHIEVEMENT_KILL_RYBARGA_NAME,Chief Keokuk,Sorcier Lycan
ACHIEVEMENT_KILL_BEHEMOTH03_NAME,[God of Death] Demonic Ankou,[Dieu de la Mort] Ankou Démoniaque 
ACHIEVEMENT_KILL_AIBATT_LVL1,Aibatt Slayer 1,Tueur d'Aibatt I
ACHIEVEMENT_KILL_AIBATT_LVL2,Aibatt Slayer 2,Tueur d'Aibatt II
ACHIEVEMENT_KILL_AIBATT_LVL3,Aibatt Slayer 3,Tueur d'Aibatt III
ACHIEVEMENT_KILL_AIBATT_LVL4,Aibatt Slayer 4,Tueur d'Aibatt IV
ACHIEVEMENT_KILL_AIBATT_LVL5,Aibatt Hunter,Mangeur d'yeux d'Aibatts
ACHIEVEMENT_KILL_MUSHPANG_LVL1,Mushpang Slayer 1,Tueur de Mushpang I
ACHIEVEMENT_KILL_MUSHPANG_LVL2,Mushpang Slayer 2,Tueur de Mushpang II
ACHIEVEMENT_KILL_MUSHPANG_LVL3,Mushpang Slayer 3,Tueur de Mushpang III
ACHIEVEMENT_KILL_MUSHPANG_LVL4,Mushpang Slayer 4,Tueur de Mushpang IV
ACHIEVEMENT_KILL_MUSHPANG_LVL5,Mushpang Hunter,Pro de la cueillette
ACHIEVEMENT_KILL_BURUDENG_LVL1,Burudeng Slayer 1,Tueur de Burudeng I
ACHIEVEMENT_KILL_BURUDENG_LVL2,Burudeng Slayer 2,Tueur de Burudeng II
ACHIEVEMENT_KILL_BURUDENG_LVL3,Burudeng Slayer 3,Tueur de Burudeng III
ACHIEVEMENT_KILL_BURUDENG_LVL4,Burudeng Slayer 4,Tueur de Burudeng IV
ACHIEVEMENT_KILL_BURUDENG_LVL5,Burudeng Hunter,Scarabée
ACHIEVEMENT_KILL_PUKEPUKE_LVL1,Pukepuke Slayer 1,Tueur de Pukepuke I
ACHIEVEMENT_KILL_PUKEPUKE_LVL2,Pukepuke Slayer 2,Tueur de Pukepuke II
ACHIEVEMENT_KILL_PUKEPUKE_LVL3,Pukepuke Slayer 3,Tueur de Pukepuke III
ACHIEVEMENT_KILL_PUKEPUKE_LVL4,Pukepuke Slayer 4,Tueur de Pukepuke IV
ACHIEVEMENT_KILL_PUKEPUKE_LVL5,Pukepuke Hunter,Paysan
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL1,Peakyturtle Slayer 1,Tueur de Peakyturtle I
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL2,Peakyturtle Slayer 2,Tueur de Peakyturtle II
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL3,Peakyturtle Slayer 3,Tueur de Peakyturtle III
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL4,Peakyturtle Slayer 4,Tueur de Peakyturtle IV
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL5,Peakyturtle Hunter,Porc-épic
ACHIEVEMENT_KILL_DEMIAN_LVL1,Demian Slayer 1,Tueur de Démian I
ACHIEVEMENT_KILL_DEMIAN_LVL2,Demian Slayer 2,Tueur de Démian II
ACHIEVEMENT_KILL_DEMIAN_LVL3,Demian Slayer 3,Tueur de Démian III
ACHIEVEMENT_KILL_DEMIAN_LVL4,Demian Slayer 4,Tueur de Démian IV
ACHIEVEMENT_KILL_DEMIAN_LVL5,Demian Hunter,Rebelle
ACHIEVEMENT_KILL_DORIDOMA_LVL1,Doridoma Slayer 1,Tueur de Doridoma I
ACHIEVEMENT_KILL_DORIDOMA_LVL2,Doridoma Slayer 2,Tueur de Doridoma II
ACHIEVEMENT_KILL_DORIDOMA_LVL3,Doridoma Slayer 3,Tueur de Doridoma III
ACHIEVEMENT_KILL_DORIDOMA_LVL4,Doridoma Slayer 4,Tueur de Doridoma IV
ACHIEVEMENT_KILL_DORIDOMA_LVL5,Doridoma Hunter,Chevalier des mers
ACHIEVEMENT_KILL_LAWOLF_LVL1,Lawolf Slayer 1,Tueur de Lawolf I
ACHIEVEMENT_KILL_LAWOLF_LVL2,Lawolf Slayer 2,Tueur de Lawolf II
ACHIEVEMENT_KILL_LAWOLF_LVL3,Lawolf Slayer 3,Tueur de Lawolf III
ACHIEVEMENT_KILL_LAWOLF_LVL4,Lawolf Slayer 4,Tueur de Lawolf IV
ACHIEVEMENT_KILL_LAWOLF_LVL5,Lawolf Hunter,Mâle alpha
ACHIEVEMENT_KILL_FEFERN_LVL1,Fefern Slayer 1,Tueur de Fefern I
ACHIEVEMENT_KILL_FEFERN_LVL2,Fefern Slayer 2,Tueur de Fefern II
ACHIEVEMENT_KILL_FEFERN_LVL3,Fefern Slayer 3,Tueur de Fefern III
ACHIEVEMENT_KILL_FEFERN_LVL4,Fefern Slayer 4,Tueur de Fefern IV
ACHIEVEMENT_KILL_FEFERN_LVL5,Fefern Hunter,Botaniste
ACHIEVEMENT_KILL_NYANGNYANG_LVL1,Nyangnyang Slayer 1,Tueur de Nyangnyang I
ACHIEVEMENT_KILL_NYANGNYANG_LVL2,Nyangnyang Slayer 2,Tueur de Nyangnyang II
ACHIEVEMENT_KILL_NYANGNYANG_LVL3,Nyangnyang Slayer 3,Tueur de Nyangnyang III
ACHIEVEMENT_KILL_NYANGNYANG_LVL4,Nyangnyang Slayer 4,Tueur de Nyangnyang IV
ACHIEVEMENT_KILL_NYANGNYANG_LVL5,Nyangnyang Hunter,Cosplayer
ACHIEVEMENT_KILL_BANG_LVL1,Bang Slayer 1,Tueur de Bang I
ACHIEVEMENT_KILL_BANG_LVL2,Bang Slayer 2,Tueur de Bang II
ACHIEVEMENT_KILL_BANG_LVL3,Bang Slayer 3,Tueur de Bang III
ACHIEVEMENT_KILL_BANG_LVL4,Bang Slayer 4,Tueur de Bang IV
ACHIEVEMENT_KILL_BANG_LVL5,Bang Hunter,Gangster
ACHIEVEMENT_KILL_MOTHBEE_LVL1,Mothbee Slayer 1,Tueur de Mothbee I
ACHIEVEMENT_KILL_MOTHBEE_LVL2,Mothbee Slayer 2,Tueur de Mothbee II
ACHIEVEMENT_KILL_MOTHBEE_LVL3,Mothbee Slayer 3,Tueur de Mothbee III
ACHIEVEMENT_KILL_MOTHBEE_LVL4,Mothbee Slayer 4,Tueur de Mothbee IV
ACHIEVEMENT_KILL_MOTHBEE_LVL5,Mothbee Hunter,Papillon
ACHIEVEMENT_KILL_WAGSAAC_LVL1,Wagsaac Slayer 1,Tueur de Wagsaac I
ACHIEVEMENT_KILL_WAGSAAC_LVL2,Wagsaac Slayer 2,Tueur de Wagsaac II
ACHIEVEMENT_KILL_WAGSAAC_LVL3,Wagsaac Slayer 3,Tueur de Wagsaac III
ACHIEVEMENT_KILL_WAGSAAC_LVL4,Wagsaac Slayer 4,Tueur de Wagsaac IV
ACHIEVEMENT_KILL_WAGSAAC_LVL5,Wagsaac Hunter,Toxique
ACHIEVEMENT_KILL_FLYBAT_LVL1,Flybat Slayer 1,Tueur de Flybat I
ACHIEVEMENT_KILL_FLYBAT_LVL2,Flybat Slayer 2,Tueur de Flybat II
ACHIEVEMENT_KILL_FLYBAT_LVL3,Flybat Slayer 3,Tueur de Flybat III
ACHIEVEMENT_KILL_FLYBAT_LVL4,Flybat Slayer 4,Tueur de Flybat IV
ACHIEVEMENT_KILL_FLYBAT_LVL5,Flybat Hunter,Cyclope
ACHIEVEMENT_KILL_MIA_LVL1,Mia Slayer 1,Tueur de Mia I
ACHIEVEMENT_KILL_MIA_LVL2,Mia Slayer 2,Tueur de Mia II
ACHIEVEMENT_KILL_MIA_LVL3,Mia Slayer 3,Tueur de Mia III
ACHIEVEMENT_KILL_MIA_LVL4,Mia Slayer 4,Tueur de Mia IV
ACHIEVEMENT_KILL_MIA_LVL5,Mia Hunter,Boulet
ACHIEVEMENT_KILL_MRPUMPKIN_LVL1,Mr. Pumpkin Slayer 1,Tueur de Pumpkin I
ACHIEVEMENT_KILL_MRPUMPKIN_LVL2,Mr. Pumpkin Slayer 2,Tueur de Pumpkin II
ACHIEVEMENT_KILL_MRPUMPKIN_LVL3,Mr. Pumpkin Slayer 3,Tueur de Pumpkin III
ACHIEVEMENT_KILL_MRPUMPKIN_LVL4,Mr. Pumpkin Slayer 4,Tueur de Pumpkin IV
ACHIEVEMENT_KILL_MRPUMPKIN_LVL5,Mr. Pumpkin Hunter,Citrouillard
ACHIEVEMENT_KILL_REDMANTIS_LVL1,Redmantis Slayer 1,Tueur de Mantis I
ACHIEVEMENT_KILL_REDMANTIS_LVL2,Redmantis Slayer 2,Tueur de Mantis II
ACHIEVEMENT_KILL_REDMANTIS_LVL3,Redmantis Slayer 3,Tueur de Mantis III
ACHIEVEMENT_KILL_REDMANTIS_LVL4,Redmantis Slayer 4,Tueur de Mantis IV
ACHIEVEMENT_KILL_REDMANTIS_LVL5,Redmantis Hunter,Matriarche
ACHIEVEMENT_KILL_ZENDROS_LVL1,Zendros Slayer 1,Tueur de Zendros I
ACHIEVEMENT_KILL_ZENDROS_LVL2,Zendros Slayer 2,Tueur de Zendros II
ACHIEVEMENT_KILL_ZENDROS_LVL3,Zendros Slayer 3,Tueur de Zendros III
ACHIEVEMENT_KILL_ZENDROS_LVL4,Zendros Slayer 4,Tueur de Zendros IV
ACHIEVEMENT_KILL_ZENDROS_LVL5,Zendros Hunter,Démon
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL1,Jack the Hammer Slayer 1,Tueur de Jackammer I
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL2,Jack the Hammer Slayer 2,Tueur de Jackammer II
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL3,Jack the Hammer Slayer 3,Tueur de Jackammer III
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL4,Jack the Hammer Slayer 4,Tueur de Jackammer IV
ACHIEVEMENT_KILL_JACKTHEHAMMER_LVL5,Jack the Hammer Hunter,Complètement marteau
ACHIEVEMENT_KILL_GIGGLEBOX_LVL1,Giggle Box Slayer 1,Tueur de Gigglebox I
ACHIEVEMENT_KILL_GIGGLEBOX_LVL2,Giggle Box Slayer 2,Tueur de Gigglebox II
ACHIEVEMENT_KILL_GIGGLEBOX_LVL3,Giggle Box Slayer 3,Tueur de Gigglebox III
ACHIEVEMENT_KILL_GIGGLEBOX_LVL4,Giggle Box Slayer 4,Tueur de Gigglebox IV
ACHIEVEMENT_KILL_GIGGLEBOX_LVL5,Giggle Box Hunter,Chasseur de trésor
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL1,Rock Muscle Slayer 1,Tueur de Musclor I
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL2,Rock Muscle Slayer 2,Tueur de Musclor II
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL3,Rock Muscle Slayer 3,Tueur de Musclor III
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL4,Rock Muscle Slayer 4,Tueur de Musclor IV
ACHIEVEMENT_KILL_ROCKMUSCLE_LVL5,Rock Muscle Hunter,Balèze
ACHIEVEMENT_KILL_BUCROW_LVL1,Bucrow Slayer 1,Tueur de Bucrow I
ACHIEVEMENT_KILL_BUCROW_LVL2,Bucrow Slayer 2,Tueur de Bucrow II
ACHIEVEMENT_KILL_BUCROW_LVL3,Bucrow Slayer 3,Tueur de Bucrow III
ACHIEVEMENT_KILL_BUCROW_LVL4,Bucrow Slayer 4,Tueur de Bucrow IV
ACHIEVEMENT_KILL_BUCROW_LVL5,Bucrow Hunter,Tue-l'amour
ACHIEVEMENT_KILL_NEPARUBA_LVL1,Neparuba Slayer 1,Tueur de Neparuba I
ACHIEVEMENT_KILL_NEPARUBA_LVL2,Neparuba Slayer 2,Tueur de Neparuba II
ACHIEVEMENT_KILL_NEPARUBA_LVL3,Neparuba Slayer 3,Tueur de Neparuba III
ACHIEVEMENT_KILL_NEPARUBA_LVL4,Neparuba Slayer 4,Tueur de Neparuba IV
ACHIEVEMENT_KILL_NEPARUBA_LVL5,Neparuba Hunter,Vampire
ACHIEVEMENT_KILL_HOBO_LVL1,Hobo Slayer 1,Tueur de Hobo I
ACHIEVEMENT_KILL_HOBO_LVL2,Hobo Slayer 2,Tueur de Hobo II
ACHIEVEMENT_KILL_HOBO_LVL3,Hobo Slayer 3,Tueur de Hobo III
ACHIEVEMENT_KILL_HOBO_LVL4,Hobo Slayer 4,Tueur de Hobo IV
ACHIEVEMENT_KILL_HOBO_LVL5,Hobo Hunter,Clochard
ACHIEVEMENT_KILL_DUMBBULL_LVL1,Dumbbull Slayer 1,Tueur de Dumbull I
ACHIEVEMENT_KILL_DUMBBULL_LVL2,Dumbbull Slayer 2,Tueur de Dumbull II
ACHIEVEMENT_KILL_DUMBBULL_LVL3,Dumbbull Slayer 3,Tueur de Dumbull III
ACHIEVEMENT_KILL_DUMBBULL_LVL4,Dumbbull Slayer 4,Tueur de Dumbull IV
ACHIEVEMENT_KILL_DUMBBULL_LVL5,Dumbbull Hunter,Roi du rodéo
ACHIEVEMENT_KILL_TOTEMIA_LVL1,Totemia Slayer 1,Tueur de Totemia I
ACHIEVEMENT_KILL_TOTEMIA_LVL2,Totemia Slayer 2,Tueur de Totemia II
ACHIEVEMENT_KILL_TOTEMIA_LVL3,Totemia Slayer 3,Tueur de Totemia III
ACHIEVEMENT_KILL_TOTEMIA_LVL4,Totemia Slayer 4,Tueur de Totemia IV
ACHIEVEMENT_KILL_TOTEMIA_LVL5,Totemia Hunter,Vaudou
ACHIEVEMENT_KILL_CARDPUPPET_LVL1,Cardpuppet Slayer 1,Tueur de Puppet I
ACHIEVEMENT_KILL_CARDPUPPET_LVL2,Cardpuppet Slayer 2,Tueur de Puppet II
ACHIEVEMENT_KILL_CARDPUPPET_LVL3,Cardpuppet Slayer 3,Tueur de Puppet III
ACHIEVEMENT_KILL_CARDPUPPET_LVL4,Cardpuppet Slayer 4,Tueur de Puppet IV
ACHIEVEMENT_KILL_CARDPUPPET_LVL5,Cardpuppet Hunter,Marionnettiste
ACHIEVEMENT_KILL_FLBYRIGEN_LVL1,Flybrigen Slayer 1,Tueur de Flybrigen I
ACHIEVEMENT_KILL_FLBYRIGEN_LVL2,Flybrigen Slayer 2,Tueur de Flybrigen II
ACHIEVEMENT_KILL_FLBYRIGEN_LVL3,Flybrigen Slayer 3,Tueur de Flybrigen III
ACHIEVEMENT_KILL_FLBYRIGEN_LVL4,Flybrigen Slayer 4,Tueur de Flybrigen IV
ACHIEVEMENT_KILL_FLBYRIGEN_LVL5,Flybrigen Hunter,Mutant
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL1,Tombstone Bearer Slayer 1,Tueur de Tombstone I
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL2,Tombstone Bearer Slayer 2,Tueur de Tombstone II
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL3,Tombstone Bearer Slayer 3,Tueur de Tombstone III
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL4,Tombstone Bearer Slayer 4,Tueur de Tombstone IV
ACHIEVEMENT_KILL_TOMBSTONEBEARER_LVL5,Tombstone Bearer Hunter,Croquemort
ACHIEVEMENT_KILL_SCOPICON_LVL1,Scorpicon Slayer 1,Tueur de Scorpic I
ACHIEVEMENT_KILL_SCOPICON_LVL2,Scorpicon Slayer 2,Tueur de Scorpic II
ACHIEVEMENT_KILL_SCOPICON_LVL3,Scorpicon Slayer 3,Tueur de Scorpic III
ACHIEVEMENT_KILL_SCOPICON_LVL4,Scorpicon Slayer 4,Tueur de Scorpic IV
ACHIEVEMENT_KILL_SCOPICON_LVL5,Scorpicon Hunter,Espèce invasive
ACHIEVEMENT_KILL_BASQUE_LVL1,Basque Slayer 1,Tueur de Bask I
ACHIEVEMENT_KILL_BASQUE_LVL2,Basque Slayer 2,Tueur de Bask II
ACHIEVEMENT_KILL_BASQUE_LVL3,Basque Slayer 3,Tueur de Bask III
ACHIEVEMENT_KILL_BASQUE_LVL4,Basque Slayer 4,Tueur de Bask IV
ACHIEVEMENT_KILL_BASQUE_LVL5,Basque Hunter,Sniper
ACHIEVEMENT_KILL_PRANKSTER_LVL1,Prankster Slayer 1,Tueur de Prankster I
ACHIEVEMENT_KILL_PRANKSTER_LVL2,Prankster Slayer 2,Tueur de Prankster II
ACHIEVEMENT_KILL_PRANKSTER_LVL3,Prankster Slayer 3,Tueur de Prankster III
ACHIEVEMENT_KILL_PRANKSTER_LVL4,Prankster Slayer 4,Tueur de Prankster IV
ACHIEVEMENT_KILL_PRANKSTER_LVL5,Prankster Hunter,Archimage
ACHIEVEMENT_KILL_ROCKEPELLER_LVL1,Rockepeller Slayer 1,Tueur de Rockpeller I
ACHIEVEMENT_KILL_ROCKEPELLER_LVL2,Rockepeller Slayer 2,Tueur de Rockpeller II
ACHIEVEMENT_KILL_ROCKEPELLER_LVL3,Rockepeller Slayer 3,Tueur de Rockpeller III
ACHIEVEMENT_KILL_ROCKEPELLER_LVL4,Rockepeller Slayer 4,Tueur de Rockpeller IV
ACHIEVEMENT_KILL_ROCKEPELLER_LVL5,Rockepeller Hunter,Inventeur fou
ACHIEVEMENT_KILL_WHEELEM_LVL1,Wheelem Slayer 1,Tueur de Wheelem I
ACHIEVEMENT_KILL_WHEELEM_LVL2,Wheelem Slayer 2,Tueur de Wheelem II
ACHIEVEMENT_KILL_WHEELEM_LVL3,Wheelem Slayer 3,Tueur de Wheelem III
ACHIEVEMENT_KILL_WHEELEM_LVL4,Wheelem Slayer 4,Tueur de Wheelem IV
ACHIEVEMENT_KILL_WHEELEM_LVL5,Wheelem Hunter,Monocycliste
ACHIEVEMENT_KILL_LEYENA_LVL1,Leyena Slayer 1,Tueur de Leyena I
ACHIEVEMENT_KILL_LEYENA_LVL2,Leyena Slayer 2,Tueur de Leyena II
ACHIEVEMENT_KILL_LEYENA_LVL3,Leyena Slayer 3,Tueur de Leyena III
ACHIEVEMENT_KILL_LEYENA_LVL4,Leyena Slayer 4,Tueur de Leyena IV
ACHIEVEMENT_KILL_LEYENA_LVL5,Leyena Hunter,Prédateur
ACHIEVEMENT_KILL_TRANGFOMA_LVL1,Trangfoma Slayer 1,Tueur de Trangfoma I
ACHIEVEMENT_KILL_TRANGFOMA_LVL2,Trangfoma Slayer 2,Tueur de Trangfoma II
ACHIEVEMENT_KILL_TRANGFOMA_LVL3,Trangfoma Slayer 3,Tueur de Trangfoma III
ACHIEVEMENT_KILL_TRANGFOMA_LVL4,Trangfoma Slayer 4,Tueur de Trangfoma IV
ACHIEVEMENT_KILL_TRANGFOMA_LVL5,Trangfoma Hunter,Sous tension
ACHIEVEMENT_KILL_STEAMWALKER_LVL1,Steam Walker Slayer 1,Tueur de Steamwalker I
ACHIEVEMENT_KILL_STEAMWALKER_LVL2,Steam Walker Slayer 2,Tueur de Steamwalker II
ACHIEVEMENT_KILL_STEAMWALKER_LVL3,Steam Walker Slayer 3,Tueur de Steamwalker III
ACHIEVEMENT_KILL_STEAMWALKER_LVL4,Steam Walker Slayer 4,Tueur de Steamwalker IV
ACHIEVEMENT_KILL_STEAMWALKER_LVL5,Steam Walker Hunter,Steampunk
ACHIEVEMENT_KILL_STEELKNIGHT_LVL1,Steel Knight Slayer 1,Tueur de Steelknight I
ACHIEVEMENT_KILL_STEELKNIGHT_LVL2,Steel Knight Slayer 2,Tueur de Steelknight II
ACHIEVEMENT_KILL_STEELKNIGHT_LVL3,Steel Knight Slayer 3,Tueur de Steelknight III
ACHIEVEMENT_KILL_STEELKNIGHT_LVL4,Steel Knight Slayer 4,Tueur de Steelknight IV
